,City,Lat,Long,Max Temp,Humidity,Wind,Cloudiness,Country,Date
0,thompson,55.7435,-97.8558,-2.2,84,5.75,90,CA,1611098300
1,butaritari,3.0707,172.7902,80.13,81,21.0,84,KI,1611098300
2,punta arenas,-53.15,-70.9167,62.6,48,6.91,0,CL,1611098301
3,vestmannaeyjar,63.4427,-20.2734,36.3,79,18.52,1,IS,1611098301
4,corinto,37.9407,22.9573,36.0,66,3.0,0,GR,1611098302
5,sur,22.5667,59.5289,68.2,56,3.53,0,OM,1611098302
6,benxi,41.2886,123.765,26.6,68,15.66,90,CN,1611098302
7,rikitea,-23.1203,-134.9692,78.55,77,15.32,20,PF,1611098302
8,isiolo,0.3546,37.5822,67.82,44,4.65,94,KE,1611098303
9,ushuaia,-54.8,-68.3,59.0,58,9.22,20,AR,1611098303
10,asau,46.4333,26.4,19.0,100,2.3,95,RO,1611098303
11,gorontalo,0.5412,123.0595,78.78,80,1.83,100,ID,1611098303
12,bredasdorp,-34.5322,20.0403,62.6,72,4.61,44,ZA,1611098276
13,margate,51.3813,1.3862,48.99,80,10.0,100,GB,1611098120
14,hithadhoo,-0.6,73.0833,80.71,71,10.65,9,MV,1611098304
15,parry sound,45.3501,-80.033,28.99,93,8.9,100,CA,1611098304
16,vila velha,-20.3297,-40.2925,79.0,73,10.36,0,BR,1611098304
17,sechura,-5.5569,-80.8222,79.61,57,16.62,90,PE,1611098305
18,umm lajj,25.0213,37.2685,65.88,57,13.11,17,SA,1611098305
19,gat,31.61,34.7642,52.0,100,3.0,100,IL,1611098161
20,atuona,-9.8,-139.0333,78.24,73,11.18,17,PF,1611098200
21,cockburn town,21.4612,-71.1419,77.0,78,11.5,40,TC,1611098306
22,lons-le-saunier,46.75,5.75,42.01,74,1.99,100,FR,1611098306
23,new norfolk,-42.7826,147.0587,63.0,49,1.99,0,AU,1611098306
24,grindavik,63.8424,-22.4338,32.0,74,23.02,20,IS,1611098306
25,sao joao da barra,-21.6403,-41.0511,82.4,61,18.41,0,BR,1611098049
26,lazaro cardenas,17.9583,-102.2,81.99,61,6.13,21,MX,1611098307
27,shu,43.5983,73.7614,36.99,81,5.99,100,KZ,1611098307
28,olga,43.7444,135.2892,-3.77,74,6.46,0,RU,1611098307
29,vaini,-21.2,-175.2,87.8,70,9.22,40,TO,1611098308
30,hobart,-42.8794,147.3294,63.0,47,3.44,20,AU,1611098309
31,dingle,10.9995,122.6711,74.19,91,4.18,98,PH,1611098309
32,port alfred,-33.5906,26.891,66.99,91,4.0,23,ZA,1611098309
33,kautokeino,69.0125,23.0412,2.59,94,3.29,100,NO,1611098310
34,mackay,-21.15,149.2,82.99,78,16.11,40,AU,1611098310
35,bundu,23.1833,85.5833,64.4,63,2.68,20,IN,1611098310
36,carnarvon,-24.8667,113.6333,78.8,83,13.8,90,AU,1611098310
37,vagur,61.4732,-6.8119,39.81,71,9.51,71,FO,1611098311
38,narsaq,60.9167,-46.05,41.0,33,32.21,20,GL,1611098311
39,kodiak,57.79,-152.4072,35.6,64,11.27,90,US,1611098311
40,jamestown,42.097,-79.2353,28.0,86,6.91,90,US,1611098311
41,nikolskoye,59.7035,30.7861,23.0,86,4.47,75,RU,1611098222
42,kavieng,-2.5744,150.7967,82.22,78,13.49,96,PG,1611098312
43,khatanga,71.9667,102.5,-26.54,86,2.08,99,RU,1611098312
44,nanortalik,60.1432,-45.2371,26.1,85,10.54,29,GL,1611098312
45,sanchor,24.7553,71.7722,59.02,37,9.55,0,IN,1611098312
46,mataura,-46.1927,168.8643,46.99,92,10.0,100,NZ,1611098312
47,albany,42.6001,-73.9662,36.0,71,4.34,93,US,1611098303
48,murgab,37.4966,61.9714,39.2,75,6.91,0,TM,1611098313
49,goundam,16.4145,-3.6708,73.33,20,10.25,0,ML,1611098313
50,norman wells,65.282,-126.8329,12.2,85,20.71,75,CA,1611098313
51,castro,-24.7911,-50.0119,64.47,98,7.25,100,BR,1611098066
52,gusinoye ozero,51.1144,106.2614,4.89,88,2.98,99,RU,1611098314
53,naze,28.3667,129.4833,59.0,63,6.91,75,JP,1611098314
54,tasiilaq,65.6145,-37.6368,12.2,67,3.44,75,GL,1611098314
55,petit goave,18.4314,-72.8669,80.6,74,4.61,20,HT,1611098315
56,srednekolymsk,67.45,153.6833,-44.18,79,4.27,39,RU,1611098315
57,kaitangata,-46.2817,169.8464,53.01,63,14.0,100,NZ,1611098271
58,boaco,12.4722,-85.6586,86.0,65,13.8,40,NI,1611098315
59,okato,-39.2,173.8833,57.99,75,11.01,93,NZ,1611098316
60,puerto ayora,-0.7393,-90.3518,80.6,78,14.97,20,EC,1611098316
61,havoysund,70.9963,24.6622,19.4,63,6.91,0,NO,1611098317
62,kieta,-6.2167,155.6333,83.73,67,3.04,60,PG,1611098317
63,menongue,-14.6585,17.691,63.82,81,0.96,97,AO,1611098317
64,kyrnasivka,48.5955,28.979,11.88,91,5.21,0,UA,1611098318
65,cherskiy,68.75,161.3,-43.08,80,6.62,100,RU,1611098319
66,hofn,64.2539,-15.2082,38.28,76,15.26,40,IS,1611098319
67,tanggu,39.0211,117.6469,24.8,93,3.53,90,CN,1611098319
68,nelson bay,-32.7167,152.15,70.0,60,10.36,90,AU,1611098320
69,marsa matruh,31.3525,27.2453,48.2,87,11.5,40,EG,1611098320
70,bengkulu,-3.8004,102.2655,75.0,83,5.14,25,ID,1611098320
71,zig,40.127,-92.7663,37.4,60,14.97,40,US,1611098321
72,bilibino,68.0546,166.4372,-44.81,75,0.83,50,RU,1611098321
73,yellowknife,62.456,-114.3525,15.8,92,6.91,90,CA,1611098104
74,kapaa,22.0752,-159.319,69.8,100,23.02,90,US,1611098321
75,shimoda,34.6667,138.95,41.0,56,14.97,75,JP,1611098322
76,bluff,-46.6,168.3333,46.99,92,10.0,95,NZ,1611098322
77,husavik,66.0449,-17.3389,30.2,93,20.71,90,IS,1611098322
78,sambava,-14.2667,50.1667,73.0,93,7.25,100,MG,1611098323
79,atar,20.5169,-13.0499,60.78,26,11.9,75,MR,1611098324
80,bambous virieux,-20.3428,57.7575,79.0,94,3.44,20,MU,1611098324
81,busselton,-33.65,115.3333,66.99,97,8.03,9,AU,1611098318
82,nyagan,62.1406,65.3936,-10.21,85,8.19,78,RU,1611098325
83,fortuna,40.5982,-124.1573,60.01,50,12.66,1,US,1611098325
84,korla,41.7597,86.1469,18.5,84,3.51,70,CN,1611098326
85,hornepayne,49.2138,-84.7705,-6.36,91,4.14,100,CA,1611098326
86,gimbi,9.1667,35.8333,54.19,53,2.8,88,ET,1611098326
87,bar harbor,44.3876,-68.2039,28.0,42,3.44,1,US,1611098326
88,mahebourg,-20.4081,57.7,77.0,94,3.44,20,MU,1611098326
89,tual,-5.6667,132.75,84.06,75,11.45,95,ID,1611098327
